,Event_ID,Match_ID,Team_ID,Team_Name,Formation,Location_X,Location_Y,Outcome,For_or_Against
47,c2633606-0495-4960-959e-f3f63d397524,16317,322,Eibar,442,108.1,46.6,Saved,For
48,362a8e5e-d74b-4009-84f3-67395ef3d85b,16317,322,Eibar,442,61.4,54.8,Off T,Against
49,3f135c57-b36a-4d9a-9da2-e0eb469d9350,16317,322,Eibar,442,104.2,33.4,Wayward,For
50,2b9dc461-a2a4-4505-81ad-67754cdbab43,16317,322,Eibar,442,108.6,36.5,Wayward,For
51,2f0ea354-c016-46b8-a241-a1b59f5372d2,16317,322,Eibar,442,92.1,26.6,Wayward,For
52,846597a0-e034-458a-bc08-dc97c5feb3b5,16317,322,Eibar,442,107.1,54.4,Off T,For
53,c4893afb-1cf9-4012-976b-8ee7bdee40c9,16317,322,Eibar,442,112.6,33.0,Saved,For
54,a26dfc34-134d-4718-9c1a-ccd4c7795dc8,16317,322,Eibar,442,91.2,34.7,Saved,For
55,755a3801-1153-4eca-bb1e-d3f4b6b5ad5a,16317,322,Eibar,442,111.1,25.5,Goal,For
56,8f094538-d3dc-4189-9263-9582d1e25738,16317,322,Eibar,442,115.1,28.0,Saved,For
57,28827b8c-cb4d-4007-b23d-ca628d6a289b,16317,322,Eibar,442,86.5,45.1,Off T,Against
58,bc73ad7f-3659-47fd-91ac-91b4249aaee5,16317,322,Eibar,442,113.9,30.2,Goal,Against
59,0e949126-c169-4360-9d0e-d5b1be968380,16317,322,Eibar,442,105.1,31.0,Goal,Against
60,750c5d65-d54b-4628-8187-dff4f0424945,16317,322,Eibar,442,81.9,51.1,Goal,For
61,df18d8bd-27f8-46fc-83ce-befb65b6b6bf,16317,322,Eibar,442,113.3,45.6,Off T,For
62,e49d11ef-d198-46db-bad3-2a5c6ce17954,16317,322,Eibar,442,106.4,42.5,Saved,For
63,01379bc5-cf28-451a-b0f7-643b8968be72,16317,322,Eibar,442,110.4,42.4,Saved,For
64,0547733f-4374-44ca-9923-3ca9ad229cf6,16317,322,Eibar,442,110.2,55.0,Off T,For
65,37c99291-0c2b-4472-bc8f-1076a1e46ff4,16317,322,Eibar,442,110.9,57.1,Saved,Against
66,fd7dabf6-99e0-4386-a4d9-4b7e12e9069c,16317,322,Eibar,442,91.6,53.3,Off T,For
67,d32db687-c25f-4c79-bea2-b61645466414,16317,322,Eibar,442,113.7,45.5,Off T,For
68,5c5df302-29d2-43f3-bd74-012aaf9e1ba7,16317,322,Eibar,442,113.0,38.7,Off T,For
69,d5a7fe87-e3a4-4bcc-a108-b9e98bbb8758,16317,322,Eibar,442,107.3,32.1,Off T,Against
70,a416f855-d8ab-437b-8e3a-1141564ed44f,16317,322,Eibar,442,116.7,29.6,Off T,Against
71,6693b0ee-be30-4a92-9392-4afda74b7ee8,16317,322,Eibar,442,101.0,52.4,Off T,For
72,d4ebed09-0336-439e-817c-ff45eeb3ce85,16317,217,Barcelona,433,105.5,37.8,Blocked,For
73,c2633606-0495-4960-959e-f3f63d397524,16317,217,Barcelona,433,108.1,46.6,Saved,Against
74,362a8e5e-d74b-4009-84f3-67395ef3d85b,16317,217,Barcelona,433,61.4,54.8,Off T,For
75,3f135c57-b36a-4d9a-9da2-e0eb469d9350,16317,217,Barcelona,433,104.2,33.4,Wayward,Against
76,2b9dc461-a2a4-4505-81ad-67754cdbab43,16317,217,Barcelona,433,108.6,36.5,Wayward,Against
77,2f0ea354-c016-46b8-a241-a1b59f5372d2,16317,217,Barcelona,433,92.1,26.6,Wayward,Against
78,846597a0-e034-458a-bc08-dc97c5feb3b5,16317,217,Barcelona,433,107.1,54.4,Off T,Against
79,c4893afb-1cf9-4012-976b-8ee7bdee40c9,16317,217,Barcelona,433,112.6,33.0,Saved,Against
80,a26dfc34-134d-4718-9c1a-ccd4c7795dc8,16317,217,Barcelona,433,91.2,34.7,Saved,Against
81,755a3801-1153-4eca-bb1e-d3f4b6b5ad5a,16317,217,Barcelona,433,111.1,25.5,Goal,Against
82,8f094538-d3dc-4189-9263-9582d1e25738,16317,217,Barcelona,433,115.1,28.0,Saved,Against
83,28827b8c-cb4d-4007-b23d-ca628d6a289b,16317,217,Barcelona,433,86.5,45.1,Off T,For
84,bc73ad7f-3659-47fd-91ac-91b4249aaee5,16317,217,Barcelona,433,113.9,30.2,Goal,For
85,0e949126-c169-4360-9d0e-d5b1be968380,16317,217,Barcelona,433,105.1,31.0,Goal,For
86,750c5d65-d54b-4628-8187-dff4f0424945,16317,217,Barcelona,433,81.9,51.1,Goal,Against
87,df18d8bd-27f8-46fc-83ce-befb65b6b6bf,16317,217,Barcelona,433,113.3,45.6,Off T,Against
88,e49d11ef-d198-46db-bad3-2a5c6ce17954,16317,217,Barcelona,433,106.4,42.5,Saved,Against
89,01379bc5-cf28-451a-b0f7-643b8968be72,16317,217,Barcelona,433,110.4,42.4,Saved,Against
90,0547733f-4374-44ca-9923-3ca9ad229cf6,16317,217,Barcelona,433,110.2,55.0,Off T,Against
91,37c99291-0c2b-4472-bc8f-1076a1e46ff4,16317,217,Barcelona,433,110.9,57.1,Saved,For
