,Match ID,Team ID,Team Name,Formation,Period,Timestamp,Shots_tg,Total_xg,Mean_xg,Goals,Shots_tg_against,Total_xg_against,Mean_xg_against,Goals_against,xg_per_minute,xg_per_minute_against,pass_accuracy,pass_accuracy_against,possession_ratio,possession_ratio_against
0,265837,210,Real Sociedad,4231,1,00:00:00.000,3.0,1.5852139419999995,0.12193953399999996,2.0,3.0,0.6022787449999999,0.10037979083333332,1.0,0.018838589637599202,0.007157445328917788,0.2802547770700637,0.151618398637138,0.3898334861740241,0.610166513825976
1,265837,210,Real Sociedad,352,2,00:39:08.830,0.0,0.0,0.0,0.0,0.0,0.125470141,0.03136753525,0.0,0.0,0.013984089006781938,0.26666666666666666,0.11904761904761904,0.5247584709319904,0.47524152906800965
2,265837,217,Barcelona,433,1,00:00:00.000,3.0,0.6022787449999999,0.10037979083333332,1.0,3.0,1.2487272159999998,0.12487272159999999,2.0,0.008253071304640158,0.017111403713396513,0.13962264150943396,0.2801418439716312,0.5388065397472562,0.46119346025274377
3,265837,217,Barcelona,4231,2,00:27:58.579,0.0,0.125470141,0.03136753525,0.0,0.0,0.336486726,0.11216224200000001,0.0,0.00622890806823146,0.016704730430120333,0.20202020202020202,0.27419354838709675,0.8019786660841716,0.19802133391582843
4,16317,322,Eibar,442,1,00:00:00.000,8.0,1.3249044875,0.07360580486111111,2.0,3.0,1.011275283,0.126409410375,2.0,0.014258555346375143,0.010883293648046221,0.2702078521939954,0.13567073170731708,0.4383037158500914,0.5616962841499086
5,16317,217,Barcelona,433,1,00:00:00.000,3.0,1.011275283,0.126409410375,2.0,8.0,1.3249044875,0.07360580486111111,2.0,0.010883293648046221,0.014258555346375143,0.13567073170731708,0.2702078521939954,0.5600251327396806,0.4399748672603194
6,265835,217,Barcelona,433,1,00:00:00.000,9.0,2.4010592859999997,0.16007061906666664,5.0,0.0,0.090214245,0.0451071225,0.0,0.02609394187747851,0.000980419467056261,0.10588235294117647,0.22965116279069767,0.6569430522746237,0.3430569477253763
7,265835,213,Sevilla,4231,1,00:00:00.000,0.0,0.090214245,0.0451071225,0.0,9.0,2.4010592859999997,0.16007061906666664,5.0,0.000980419467056261,0.02609394187747851,0.22965116279069767,0.10588235294117647,0.3426814694116489,0.6573185305883511
8,15973,217,Barcelona,41221,1,00:00:00.000,13.0,3.5294518740000003,0.14706049475000002,5.0,4.0,1.309618291,0.21826971516666668,2.0,0.05409275012394987,0.020071347478817406,0.0958904109589041,0.24686192468619247,0.7129193190407188,0.2870806809592812
9,15973,217,Barcelona,4231,2,00:20:14.889,0.0,0.08856502,0.08856502,0.0,0.0,0.012374842,0.012374842,0.0,0.006274665419739704,0.0008767343266240161,0.10679611650485436,0.14516129032258066,0.8179203242010098,0.1820796757989902
10,15973,217,Barcelona,4222,2,00:34:21.771,2.0,1.38108727,0.3452718175,2.0,0.0,0.0,0.0,0.0,0.10095913180145719,0.0,0.06382978723404255,0.1875,0.7406661955700662,0.2593338044299338
11,15973,902,Huesca,442,1,00:00:00.000,4.0,1.309618291,0.21826971516666668,2.0,12.0,2.707523277,0.12892967985714285,4.0,0.02214099852885692,0.04577461181236882,0.24888888888888888,0.0970464135021097,0.2927678989309765,0.7072321010690235
12,15973,902,Huesca,41221,2,00:14:08.941,0.0,0.0,0.0,0.0,1.0,0.8219285969999999,0.273976199,1.0,0.0,0.06730747505435425,0.08928571428571429,0.11267605633802817,0.21753312779022144,0.7824668722097785
13,15973,902,Huesca,442,2,00:26:21.634,0.0,0.012374842,0.012374842,0.0,2.0,1.46965229,0.293930458,2.0,0.0005707439598375607,0.06778229310555554,0.23529411764705882,0.0736196319018405,0.22058594053271685,0.7794140594672831
14,15956,901,Real Valladolid,41212,1,00:00:00.000,2.0,0.052411686,0.017470562,0.0,4.0,0.711504991,0.0790561101111111,1.0,0.0007857888783190866,0.010667329205863017,0.30666666666666664,0.14747474747474748,0.31065248663969486,0.6893475133603051
15,15956,901,Real Valladolid,4222,2,00:21:41.967,2.0,0.289333289,0.07233332225,0.0,1.0,0.14292355,0.14292355,0.0,0.0103522862932369,0.005113775579573075,0.22727272727272727,0.25833333333333336,0.6002090732794094,0.3997909267205906
16,15956,217,Barcelona,433,1,00:00:00.000,5.0,0.854428541,0.08544285409999999,1.0,4.0,0.341744975,0.04882071071428572,0.0,0.009027416173333842,0.003610687104225103,0.16910569105691056,0.2773109243697479,0.5978598638360905,0.40214013616390953
17,16056,217,Barcelona,41221,1,00:00:00.000,5.0,4.185221637000001,0.20926108185000003,3.0,8.0,2.07060828,0.138040552,4.0,0.04406419488924523,0.021800443250744105,0.1609403254972875,0.15945330296127563,0.5636336804586786,0.43636631954132143
18,16056,218,Real Betis,32212,1,00:00:00.000,8.0,2.07060828,0.138040552,4.0,5.0,4.185221637000001,0.20926108185000003,3.0,0.021800443250744105,0.04406419488924523,0.15945330296127563,0.1609403254972875,0.4330877380279309,0.5669122619720691
19,16073,212,Atlético Madrid,442,1,00:00:00.000,1.0,0.145589537,0.04852984566666666,1.0,2.0,0.455782879,0.06511183985714285,1.0,0.0015482398795774149,0.00484692268577245,0.2344632768361582,0.10290237467018469,0.379481972325705,0.620518027674295
20,16073,217,Barcelona,442,1,00:00:00.000,2.0,0.455782879,0.06511183985714285,1.0,1.0,0.145589537,0.04852984566666666,1.0,0.00484692268577245,0.0015482398795774149,0.10290237467018469,0.2344632768361582,0.6163965352807296,0.3836034647192704
